,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
27,Bchen2017,Sat Mar 17 02:50:14 +0000 2018,974840301775925248,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
28,Bchen2017,Sat Mar 17 02:49:13 +0000 2018,974840048972689408,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
29,Bchen2017,Sat Mar 17 02:48:13 +0000 2018,974839796165115904,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
30,Bchen2017,Fri Mar 16 14:50:50 +0000 2018,974659259001659392,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
31,Bchen2017,Fri Mar 16 14:49:49 +0000 2018,974659005992853504,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
32,Bchen2017,Fri Mar 16 14:48:49 +0000 2018,974658753218908160,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
33,Bchen2017,Fri Mar 16 14:47:49 +0000 2018,974658500323414016,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
34,Bchen2017,Fri Mar 16 14:46:49 +0000 2018,974658247482372096,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
35,Bchen2017,Fri Mar 16 02:40:59 +0000 2018,974475588982460416,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
36,Bchen2017,Fri Mar 16 02:39:59 +0000 2018,974475335944335361,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
37,Bchen2017,Fri Mar 16 02:38:59 +0000 2018,974475083015229440,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
38,Bchen2017,Fri Mar 16 02:37:59 +0000 2018,974474830119612417,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
39,Bchen2017,Fri Mar 16 02:36:58 +0000 2018,974474577186344960,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
40,Bchen2017,Thu Mar 15 14:39:33 +0000 2018,974294034519855105,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
41,Bchen2017,Thu Mar 15 14:38:33 +0000 2018,974293781460803584,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
42,Bchen2017,Thu Mar 15 14:37:33 +0000 2018,974293528619749376,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
43,Bchen2017,Thu Mar 15 14:36:33 +0000 2018,974293275497639937,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
