,Converted_Date,BTC_Price,novogratz,JihanWu,alexsunnarborg,PerianneDC,dan_pantera,rogerkver,wences,AriannaSimpson,ljxie,CryptoHustle,adam3us,cburniske,WhalePanda,woonomic,lopp,onemanatatime,SatoshiLite,balajis,TuurDemeester,VitalikButerin,gavinandresen,CremeDeLaCrypto,NickSzabo4,westcoastbill,starkness,barrysilbert,RonnieMoas,CharlieShrem,aantonop,PeterLBrandt,Sunchartist
1966,2016-01-04,428.13,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1967,2016-01-05,433.0,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1968,2016-01-06,431.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,2016-01-07,430.75,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970,2016-01-08,453.71,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1971,2016-01-09,447.04,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1972,2016-01-10,450.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,2016-01-11,446.24,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1974,2016-01-12,447.11,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1975,2016-01-13,446.66,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1976,2016-01-14,429.57,,,,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1977,2016-01-15,431.9,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1978,2016-01-16,391.62,,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1979,2016-01-17,370.4,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1980,2016-01-18,385.45,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1981,2016-01-19,385.28,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1982,2016-01-20,378.66,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1983,2016-01-21,408.33,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2016-01-22,408.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2016-01-23,385.7,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1986,2016-01-24,388.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,2016-01-25,404.75,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2016-01-26,387.09,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2016-01-27,394.12,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1990,2016-01-28,394.45,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1991,2016-01-29,382.44,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2016-01-30,377.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2016-01-31,378.24,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1994,2016-02-01,376.86,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2016-02-02,372.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996,2016-02-03,373.48,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2016-02-04,368.38,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2016-02-05,385.06,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2016-02-06,386.49,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2016-02-07,373.04,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2016-02-08,373.74,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2016-02-09,375.8,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2016-02-10,372.61,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2016-02-11,378.98,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2016-02-12,376.75,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2016-02-13,381.46,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2016-02-14,388.6,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2016-02-15,402.38,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2016-02-16,402.64,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2016-02-17,406.69,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2016-02-18,418.04,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2016-02-19,418.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2016-02-20,418.02,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2016-02-21,439.48,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2016-02-22,434.67,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016-02-23,438.5,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2016-02-24,417.0,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2016-02-25,423.1,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2016-02-26,421.4,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2016-02-27,424.34,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2016-02-28,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2016-02-29,433.47,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2016-03-01,436.18,,8.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2016-03-02,431.87,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2016-03-03,429.99,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2016-03-04,421.44,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2016-03-05,416.48,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,2016-03-06,401.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2016-03-07,408.86,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2016-03-08,411.94,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2016-03-09,412.39,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2032,2016-03-10,413.1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2016-03-11,416.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2016-03-12,421.22,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2035,2016-03-13,412.44,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2036,2016-03-14,413.89,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2037,2016-03-15,414.78,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2016-03-16,414.78,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,2016-03-17,415.99,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2040,2016-03-18,418.64,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,2016-03-19,408.87,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2042,2016-03-20,405.59,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2043,2016-03-21,410.77,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2016-03-22,410.49,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2045,2016-03-23,415.35,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2046,2016-03-24,417.8,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,2016-03-25,416.47,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2048,2016-03-26,416.44,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2016-03-27,415.71,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2050,2016-03-28,426.8,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2051,2016-03-29,422.96,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2052,2016-03-30,414.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2053,2016-03-31,412.35,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2054,2016-04-01,416.94,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2055,2016-04-02,416.25,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2056,2016-04-03,418.07,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2057,2016-04-04,418.07,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2058,2016-04-05,418.99,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2016-04-06,421.77,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2060,2016-04-07,421.09,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2061,2016-04-08,420.33,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2016-04-09,422.2,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2063,2016-04-10,417.73,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2064,2016-04-11,421.63,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2065,2016-04-12,420.69,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2016-04-13,425.89,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2067,2016-04-14,424.61,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,2016-04-15,423.76,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2069,2016-04-16,429.09,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2070,2016-04-17,429.43,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2071,2016-04-18,425.71,,,1.0,1.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
2072,2016-04-19,427.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2016-04-20,435.91,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2074,2016-04-21,442.34,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,2016-04-22,451.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,2016-04-23,447.25,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,2016-04-24,451.29,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2078,2016-04-25,459.4,,,,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2079,2016-04-26,463.86,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,2016-04-27,467.98,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2081,2016-04-28,447.31,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2082,2016-04-29,450.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2083,2016-04-30,456.16,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2084,2016-05-01,447.17,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2085,2016-05-02,451.9,,,3.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2086,2016-05-03,443.9,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2087,2016-05-04,450.96,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2088,2016-05-05,447.37,,,,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2089,2016-05-06,448.51,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,2016-05-07,460.91,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2091,2016-05-08,459.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2092,2016-05-09,457.82,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2093,2016-05-10,461.63,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2094,2016-05-11,450.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,2016-05-12,452.51,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2096,2016-05-13,454.7,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2097,2016-05-14,456.82,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2098,2016-05-15,455.65,,2.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2099,2016-05-16,457.08,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,2016-05-17,454.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,2016-05-18,452.89,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2102,2016-05-19,452.9,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2016-05-20,441.87,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2104,2016-05-21,441.25,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,2016-05-22,443.89,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
